link,title,pubDate,description,thumbnail,topic,source
https://www.antaranews.com/berita/3867324/kpu-bengkulu-mulai-melipat-surat-suara-pilpres-2024,KPU Bengkulu mulai melipat surat suara Pilpres 2024,2023-12-12T06:25:37.000Z,Komisi Pemilihan Umum (KPU) Kota Bengkulu mulai melipat sebanyak 281.486 lembar surat suara untuk calon pasangan presiden dan wakil presiden pada Pemilihan Umum (Pemilu) 2024. Untuk surat suara pada Pemilihan Presiden ...,https://img.antaranews.com/cache/800x533/2023/12/12/IMG_20231212_115833.jpg,politik,antara
https://www.antaranews.com/berita/3867198/relawan-nelayan-muara-baru-minta-gibran-buat-regulasi-penjualan-ikan,Relawan nelayan Muara Baru minta Gibran buat regulasi penjualan ikan,2023-12-12T04:58:06.000Z,"Cawapres&nbsp;Gibran Rakabuming Raka melanjutkan kampanye&nbsp;di Jakarta, Selasa, dengan mendatangi&nbsp;Pelabuhan Perikanan Samudera Nizam Zachman, Muara Baru, dan berdialog dengan para relawan nelayan ...",https://img.antaranews.com/cache/800x533/2023/12/12/DSC02444.jpg,politik,antara
https://www.antaranews.com/berita/3867174/menhan-serahkan-lima-unit-nc-212i-buatan-pt-di-ke-tni-au,Menhan serahkan lima unit NC-212i buatan PT DI ke TNI AU,2023-12-12T04:42:03.000Z,"Menteri Pertahanan (Menhan)&nbsp;Prabowo Subianto menyerahkan lima unit pesawat NC-212i buatan PT Dirgantara Indonesia (DI) ke TNI Angkatan Udara di Base Ops Pangkalan Udara (Lanud) Halim Perdanakusuma, Jakarta, Selasa. Kelima ...",https://img.antaranews.com/cache/800x533/2023/12/12/AC33F99F-BC3D-4C4B-9FCE-383326C89860.jpeg,politik,antara
https://www.antaranews.com/berita/3867141/pdip-ganjar-mahfud-penerus-ideologis-jokowi,PDIP: Ganjar-Mahfud penerus ideologis Jokowi,2023-12-12T04:06:57.000Z,Ketua DPP PDI Perjuangan Said Abdullah mengatakan bahwa pasangan Ganjar Pranowo dan Mahfud Md. merupakan penerus ideologis Presiden RI Joko Widodo. Hal ini menyusul hasil beberapa lembaga survei yang menyebutkan masih banyak ...,https://img.antaranews.com/cache/800x533/2023/12/11/IMG-20231211-WA0058_1.jpg,politik,antara
https://www.antaranews.com/berita/3867120/prabowo-gibran-akan-tingkatkan-umkm-demi-majukan-ekonomi-kerakyatan,Prabowo-Gibran akan tingkatkan UMKM demi majukan ekonomi kerakyatan,2023-12-12T03:47:53.000Z,"Pasangan Calon Presiden dan Wakil Presiden RI Prabowo-Gibran akan meningkatkan usaha mikro, kecil, dan menengah (UMKM) demi memajukan ekonomi kerakyatan.
&nbsp; &quot;UMKM merupakan salah satu pilar ekonomi kerakyatan yang ...",https://img.antaranews.com/cache/800x533/2023/12/11/IMG-20231211-WA0053_2_1.jpg,politik,antara
https://www.antaranews.com/berita/3867117/prabowo-olahraga-renang-dan-bekerja-seperti-biasa-jelang-debat,Prabowo olahraga renang dan bekerja seperti biasa jelang debat,2023-12-12T03:45:51.000Z,"Calon presiden nomor urut 2 Prabowo Subianto pada Selasa tidak melakukan persiapan debat namun hanya berenang di pagi hari dan bertugas seperti biasa sebagai Menteri Pertahanan RI. &quot;Kegiatan Pak Prabowo sampai sore hari, ...",https://img.antaranews.com/cache/800x533/2023/06/10/IMG_20230610_215310_1.jpg,politik,antara
https://www.antaranews.com/berita/3867108/hari-ke-15-kampanye-ganjar-mahfud-bersiap-ikuti-debat-perdana,"Hari ke-15 kampanye, Ganjar-Mahfud bersiap ikuti debat perdana",2023-12-12T03:38:23.000Z,"Pasangan calon presiden dan wakil presiden Ganjar Pranowo dan Mahfud Md bersiap mengikuti debat perdana Pilpres 2024 di kantor Komisi Pemilihan Umum (KPU) RI, Jakarta, pada hari Selasa atau bertepatan dengan hari kelima belas ...",https://img.antaranews.com/cache/800x533/2023/12/11/antarafoto-peluncuran-atribut-resmi-ganjar-mahfud-111223-sth-10.jpg,politik,antara
https://www.antaranews.com/video/3867588/polresta-pangkalpinang-gagalkan-peredaran-4kg-sabu-untuk-tahun-baru,Polresta Pangkalpinang gagalkan peredaran 4kg sabu untuk tahun baru,2023-12-12T09:06:44.000Z,"ANTARA - Polresta Kota Pangkalpinang &nbsp;berhasil menggagalkan peredaran narkotika jenis sabu seberat 4 kilo gram. Kapolresta Kota Pangkalpinang Gatot Yulianto dalam konferensi pers di Pangkalpinang, Selasa (12/11) menyebut ...",https://img.antaranews.com/cache/800x533/2023/12/POLRESTA-PANGKALPINANG-GAGALKAN-PEREDARAN-4KG-SABU-UNTUK-TAHUN-BARU.jpg,hukum,antara
https://www.antaranews.com/berita/3867618/bnn-ri-gelar-acara-penyerahan-pataka-ke-kepala-bnn-baru,BNN RI gelar acara penyerahan Pataka ke Kepala BNN baru,2023-12-12T08:55:28.000Z,"Untuk pertama kalinya, Badan Narkotika Nasional Republik Indonesia (BNN RI) menggelar upacara penyerahan Pataka BNN RI dari pejabat lama Komjen Pol Petrus Reinhard Golose kepada pejabat baru Irjen Pol. Marthinus Hukom di Lapangan ...",https://img.antaranews.com/cache/800x533/2023/12/12/IMG-20231212-WA0013_1.jpg,hukum,antara
https://www.antaranews.com/video/3867579/jelang-debat-gibran-berziarah-ke-makam-habib-kwitang,"Jelang debat, Gibran berziarah ke makam Habib Kwitang",2023-12-12T08:44:37.000Z,"ANTARA - Calon Wakil Presiden nomor urut 2 Gibran Rakabuming Raka menyambangi kediaman Habib Ali di kawasan Kwitang, Jakarta Pusat, Selasa (12/12). Selain bersilaturahmi dengan Habib Ali, pasangan Prabowo Subianto dalam Pilpres ...",https://img.antaranews.com/cache/800x533/2023/12/JELANG-DEBAT-GIBRAN-BERZIARAH-KE-MAKAM-HABIB-KWITANG.jpg,hukum,antara
